Date,High,Low,Volume,Enb Close,Oil Close,SU Close,TSX Close,Gas Close,Target Close
2010-01-05,14.92533124203298,14.707241686897834,1219800.0,14.897686004638672,81.7699966430664,28.84589195251465,11888.099609375,5.63700008392334,14.559791564941406
2010-01-06,15.051260837884547,14.46764005097879,2693000.0,14.559791564941406,83.18000030517578,29.233198165893555,11944.5,6.008999824523926,14.513723373413086
2010-01-07,14.608946107324705,14.295633843097473,2365600.0,14.513723373413086,82.66000366210938,28.912925720214844,11887.5,5.806000232696533,14.53829288482666
2010-01-08,14.590510993307475,14.464571892656512,1656800.0,14.53829288482666,82.75,28.81609344482422,11953.7998046875,5.749000072479248,14.436924934387207
2010-01-11,14.599723925706906,14.375490976911099,1818400.0,14.436924934387207,82.5199966430664,28.734172821044922,11947.099609375,5.453999996185303,14.427713394165039
2010-01-12,14.495289707531478,14.38163762308087,1212400.0,14.427713394165039,80.79000091552734,28.205366134643555,11820.2001953125,5.591000080108643,14.344773292541504
2010-01-13,14.42463660984138,14.286410510903929,1320600.0,14.344773292541504,79.6500015258789,28.063867568969727,11853.599609375,5.732999801635742,14.24341106414795
2010-01-14,14.424640628409183,14.215765836658761,1327800.0,14.24341106414795,79.38999938964844,27.944700241088867,11804.400390625,5.5879998207092285,14.255699157714844
2010-01-15,14.326347817299274,14.224982756767035,1249200.0,14.255699157714844,78.0,27.341407775878906,11685.400390625,5.690999984741211,14.483000755310059
2010-01-19,14.501426769599423,14.338627815246582,1879000.0,14.338627815246582,79.0199966430664,27.505264282226562,11763.400390625,5.557000160217285,14.618156433105469
2010-01-20,14.630443460606442,14.360134714362218,2245800.0,14.618156433105469,77.62000274658203,27.266931533813477,11679.2998046875,5.495999813079834,14.596658706665039
2010-01-21,14.630447455641457,14.378569181870036,1306800.0,14.596658706665039,76.08000183105469,26.700881958007812,11469.099609375,5.614999771118164,14.329419136047363
2010-01-22,14.547508613750267,14.261841652686547,3284800.0,14.329419136047363,74.54000091552734,26.216772079467773,11343.400390625,5.818999767303467,14.338627815246582
2010-01-25,14.4369216561866,14.206545246779367,1283400.0,14.338627815246582,75.26000213623047,26.16463279724121,11354.5,5.7220001220703125,14.26798152923584
2010-01-26,14.393920606819943,14.206547575638794,1178400.0,14.26798152923584,74.70999908447266,26.09015464782715,11361.2001953125,5.485000133514404,14.335561752319336
2010-01-27,14.335561752319336,14.206551468989542,1763200.0,14.335561752319336,73.66999816894531,25.851823806762695,11344.099609375,5.27400016784668,14.357065200805664
2010-01-28,14.43692854527088,14.175835625388423,942000.0,14.357065200805664,73.63999938964844,25.583694458007812,11274.2001953125,5.138000011444092,14.255699157714844
2010-01-29,14.40928350596506,14.197337527211774,1335600.0,14.255699157714844,72.88999938964844,25.144258499145508,11094.2998046875,5.13100004196167,14.271056175231934
2010-02-01,14.384709427180166,14.16354760907062,1428000.0,14.271056175231934,74.43000030517578,25.948638916015625,11317.599609375,5.434000015258789,14.4031343460083
2010-02-02,14.489141172355616,14.224977181180986,1392600.0,14.4031343460083,77.2300033569336,24.46650505065918,11408.2998046875,5.453999996185303,14.636581420898438
2010-02-03,14.737946429932638,14.436921400907297,1744400.0,14.636581420898438,76.9800033569336,24.339885711669922,11390.5,5.419000148773193,14.51986312866211
2010-02-04,14.648873407238764,14.464572674484835,1398200.0,14.51986312866211,73.13999938964844,23.617441177368164,11128.7998046875,5.415999889373779,14.406210899353027
