Date,Open,Shop Close,High Change,Low Change,Vix ewm,High/Close,Low/Close,Vix Close,CAD Close,Spread,Spread Change,Volume Diff,Vol change,Return ewm,Vix return,Crm return,Tsx return,Cad return,Return,Chaikin,Chaikin Change,Pos
2015-05-26,36.0,36.91999816894531,0.005871294337836952,0.02857142857142847,0.1021757713056416,0.02085591809187437,-0.024918694869252578,14.0600004196167,1.2319300174713135,1.6899986267089844,-0.31579036781694403,-21000.0,-0.17826825127334467,0.021792066481752068,0.15910966916464342,-0.019197472342301403,-0.008994336254005808,0.0019763823089737897,-0.009125071602362311,-48625.0,-0.36229508196721316,0
2015-05-27,38.0,34.5,0.012470184076102786,-0.06583330366346574,-0.0033999177807986503,0.10608695209890162,-0.025217360344485962,13.270000457763672,1.2424399852752686,4.529998779296875,1.680474828620636,38900.0,0.4018595041322315,-0.03643403289477182,-0.056187762324018786,0.005165111526359123,0.0039665795896046685,0.00853130263481039,-0.06554708258303377,-4862.5,-0.9,0
2015-05-28,34.599998474121094,34.0,-0.09329144097290776,-0.014570373562413308,0.0008762374276605847,0.017647013944738,-0.025294135598575407,13.3100004196167,1.2453999519348145,1.4599990844726562,-0.677704309514346,-97300.0,-0.7170228445099485,-0.021806513380382846,0.0030143150318902023,-0.0171737213722305,-0.00023162701432777322,0.0023823820020489883,-0.01449275362318836,-51081.25,9.505141388174808,0
2015-05-29,33.709999084472656,33.52000045776367,-0.010115563281971607,0.006336725659030984,0.02683852122931513,0.0217780290055829,-0.005071658153966485,13.84000015258789,1.2425099611282349,0.9000015258789062,-0.38356021216000835,-15600.0,-0.40625,-0.016680593523585044,0.0398196631301424,0.0009631218289805066,-0.006149492991659455,-0.0023205322933326222,-0.014117633595186141,-33340.625,-0.347302092254986,1
2015-06-01,33.619998931884766,34.2400016784668,0.003795651623802465,0.0023988556136447237,0.015208221575843396,0.004088767020606898,-0.023656581004212307,13.970000267028809,1.245609998703003,0.9500007629394531,0.05555461365659298,-11400.0,-0.5,0.008759635310564687,0.009393071749107529,0.0048109755892933315,0.003996243635051799,0.0024949800579088244,0.021479749727639552,-22370.3125,-0.3290373980691723,0
2015-06-02,34.720001220703125,33.130001068115234,0.00988947475348434,-0.008973952567212451,0.017954136322392233,0.0479927588688831,0.0,14.239999771118164,1.2524399757385254,1.5900001525878906,0.6736830270200813,-4100.0,-0.35964912280701755,-0.01869228192020551,0.019327093695666653,-0.002735936421571772,0.0020300108617079538,0.005483238768662968,-0.032418240535590614,-13235.15625,-0.4083606900887057,1
2015-06-03,33.97999954223633,34.189998626708984,-0.013248930961892613,-0.0039239681232714485,-0.02116884280959998,0.0020473734318764425,-0.03480545991538486,13.65999984741211,1.2413699626922607,1.2599983215332031,-0.20754830150020753,22500.0,3.082191780821918,0.015099303237973608,-0.04073033237559609,0.00781892569126863,0.003310227899492979,-0.008838757354209359,0.03199509581706317,4632.421875,-1.3500088542588986,0
2015-06-04,34.9900016784668,33.45000076293945,0.021307746430179186,-0.03393941937070899,0.044188238461407243,0.04603889029603758,-0.04693577178964725,14.710000038146973,1.2455999851226807,3.1100025177001953,1.4682592544376192,2400.0,0.08053691275167796,-0.0093960281688498,0.07686677909691086,-0.017149885875807125,-0.008927910347533596,0.0034075437279357246,-0.021643693872261505,3516.2109375,-0.240956235770301,1
2015-06-05,33.970001220703125,33.97999954223633,-0.028865449779387542,0.0382684863698457,-0.007930908897335883,0.0,-0.025897618598299643,14.210000038146973,1.249400019645691,0.8800010681152344,-0.717041686266549,-27900.0,-0.8664596273291926,0.007430995437657414,-0.03399048257670745,0.01855704174317463,-0.004141323467967806,0.003050766352278078,0.01584450724091102,-12191.89453125,-4.4673387768705215,0
2015-06-08,33.97999954223633,33.63999938964844,0.0038258113556961515,0.01208463880116617,0.048024903264893594,0.013971499085334571,-0.004161694179207309,15.289999961853027,1.2457000017166138,0.6100006103515625,-0.3068183295981135,500.0,0.11627906976744184,-0.004193595147781556,0.07600280934600834,-0.023249580461116248,-0.014300830892939098,-0.002961435785895361,-0.010005890440501042,-5845.947265625,-0.5205054267291441,1
